"","Type","DeltaC","DeltaN","se.x","se.y"
"1","Calamagrostis_Competition",-27.995,2.03,0.510645016947521,0.58083273553293
"2","Calamagrostis_No competition",-27.014,2.694,0.392945288812578,0.824060677377582
"3","Carex_Competition",-28.808,2.398,0.380439219849899,0.289730909638582
"4","Carex_No competition",-27.786,3.414,0.220830251550823,0.338180425217073
"5","Phragmites_Competition",-26.8111111111111,3.84666666666667,0.211308387358148,0.288395946958729
"6","Phragmites_No competition",-26.3433333333333,4.23333333333333,0.292318319644869,0.26473256946083
"7","Typha_Competition",-30.042,1.822,0.355350531166058,0.352156215336319
"8","Typha_No competition",-29.22,2.038,0.281460476799142,0.399254304923566
