Site,Phytometer,Treatment,Year,Neighbour,Canopy,Phytometer,Incident
CCP1,Calamagrostis,competition,2016,Phragmites,1912,1818,95
CCP10,Calamagrostis,competition,2016,Phragmites,1154,527.3,46
CCP11,Calamagrostis,competition,2016,Phragmites,1035,397.5,38
CCP12,Calamagrostis,competition,2016,Phragmites,1076,624.4,58
CCP2,Calamagrostis,competition,2016,Phragmites,1818,1815,100
CCP3,Calamagrostis,competition,2016,Phragmites,2140,1767,83
CCP4,Calamagrostis,competition,2016,Phragmites,1299,1043,80
CCP5,Calamagrostis,competition,2016,Phragmites,1126,415.6,37
CCP6,Calamagrostis,competition,2016,Phragmites,1795,1261,70
CCP7,Calamagrostis,competition,2016,Phragmites,1564,353.9,23
CCP9,Calamagrostis,competition,2016,Phragmites,1168,506.7,43
CCP8,Calamagrostis,competition,2016,Phragmites,1589,278,17
CCP10CU,Calamagrostis,no_competition,2016,Phragmites,1171,906.5,77
CCP11CU,Calamagrostis,no_competition,2016,Phragmites,1074,634,59
CCP1CU,Calamagrostis,no_competition,2016,Phragmites,1972,1905,97
CCP2CU,Calamagrostis,no_competition,2016,Phragmites,1940,1853,96
CCP4CU,Calamagrostis,no_competition,2016,Phragmites,903.5,675.7,75
CCP6CU,Calamagrostis,no_competition,2016,Phragmites,2154,1154,54
CCP7CU,Calamagrostis,no_competition,2016,Phragmites,1556,1333,86
CCP8CU,Calamagrostis,no_competition,2016,Phragmites,1640,1092,67
CCP9CU,Calamagrostis,no_competition,2016,Phragmites,1678,1419,85
CCP5CU,Calamagrostis,no_competition,2016,Phragmites,1091,476.6,44
CAP1,Carex,competition,2016,Phragmites,309.9,29.96,10
CAP10,Carex,competition,2016,Phragmites,1521,1164,77
CAP11,Carex,competition,2016,Phragmites,1324,250.6,19
CAP12,Carex,competition,2016,Phragmites,1127,580.7,52
CAP2,Carex,competition,2016,Phragmites,1063,309.6,29
CAP3,Carex,competition,2016,Phragmites,1764,1493,85
CAP4,Carex,competition,2016,Phragmites,1768,1630,92
CAP5,Carex,competition,2016,Phragmites,1745,800.9,46
CAP6,Carex,competition,2016,Phragmites,900.5,315.9,35
CAP7,Carex,competition,2016,Phragmites,1601,598.4,37
CAP8,Carex,competition,2016,Phragmites,1968,156.2,8
CAP9,Carex,competition,2016,Phragmites,1481,1673,113
CAP10CU,Carex,no_competition,2016,Phragmites,1540,1195,78
CAP11CU,Carex,no_competition,2016,Phragmites,1238,1160,94
CAP12CU,Carex,no_competition,2016,Phragmites,1163,714.6,61
CAP1CU,Carex,no_competition,2016,Phragmites,1264,369.5,29
CAP2CU,Carex,no_competition,2016,Phragmites,1164,414.4,36
CAP3CU,Carex,no_competition,2016,Phragmites,1274,493.5,39
CAP5CU,Carex,no_competition,2016,Phragmites,1805,1446,80
CAP6CU,Carex,no_competition,2016,Phragmites,1009,765.4,76
CAP7CU,Carex,no_competition,2016,Phragmites,752.5,615.5,82
CAP8CU,Carex,no_competition,2016,Phragmites,889.8,519.4,58
CAP9CU,Carex,no_competition,2016,Phragmites,1899,1591,84
PCA1,Phragmites,competition,2016,Carex,1914,1812,95
PCA2,Phragmites,competition,2016,Carex,1785,135.3,8
PCA3,Phragmites,competition,2016,Carex,1500,1263,84
PCA4,Phragmites,competition,2016,Carex,1481,1423,96
PCA5,Phragmites,competition,2016,Carex,1511,1459,97
PCA6,Phragmites,competition,2016,Carex,1354,1336,99
PCC1,Phragmites,competition,2016,Calamagrostis,2016,1920,95
PCC2,Phragmites,competition,2016,Calamagrostis,1848,1791,97
PCC3,Phragmites,competition,2016,Calamagrostis,776.2,88.4,11
PCC4,Phragmites,competition,2016,Calamagrostis,1032,955,93
PCC5,Phragmites,competition,2016,Calamagrostis,1036,935.7,90
PCC6,Phragmites,competition,2016,Calamagrostis,1093,473.8,43
PTY1,Phragmites,competition,2016,Typha,1375,1308,95
PTY2,Phragmites,competition,2016,Typha,1590,1525,96
PTY3,Phragmites,competition,2016,Typha,1523,1409,93
PTY4,Phragmites,competition,2016,Typha,1542,1539,100
PTY5,Phragmites,competition,2016,Typha,1534,1488,97
PTY6,Phragmites,competition,2016,Typha,1436,1407,98
