"","Variable","LCPT","LSP"
"1","PTY1_2016","31.2425687818493","905.983631942819"
"2","PTY1CU_2016","18.9722303351596","1287.24970961085"
"3","PTY2_2016","42.2965620722555","1128.39093293849"
"4","PTY2CU_2016","41.012028558979","1114.92527632977"
"5","PTY3_2016","-22.8105540733681","482.783501025589"
"6","PTY3CU_2016","35.9049293055913","1094.63388061877"
"7","PTY4_2016","30.3258048154223","853.087380167009"
"8","PTY4CU_2016","35.4556880488215","1083.77405308521"
"9","PTY5_2016","-134.248722876788","560.380337579757"
"10","PTY5CU_2016","-6.53326434943652","1449.84310644756"
"11","PTY6_2016","-142.539965500459","528.093313311293"
"12","PTY6CU_2016","-27.7763296575193","590.3680686592"
"13","TYP4_2016","NA","NA"
"14","TYP4CU_2016","NA","NA"
"15","TYP5_2016","15.3002734545708","550.567233039847"
"16","TYP5CU_2016","10.3672459151176","439.40420129626"
"17","TYP6_2016","8.49856225694503","475.524005478851"
"18","TYP6CU_2016","NA","NA"
"19","PCC1_2016","12.3634266974742","656.695076650091"
"20","PCC1CU_2016","46.7283275968491","1491.90672374934"
"21","PCC2_2016","-126.960182836394","347.577845358875"
"22","PCC2CU_2016","41.0928503898472","954.818604451326"
"23","PCC3_2016","30.7891532381127","1108.34506614474"
"24","PCC3CU_2016","38.696474157236","624.890579634545"
"25","PCC4CU_2016","23.2366528137441","935.094733498134"
"26","TYP1_2016","-43.6247023608817","705.382685299679"
"27","TYP1CU_2016","-172.535151525849","570.104326744948"
"28","TYP2_2016","38.006367817838","655.360954583998"
"29","TYP2CU_2016","-145.921472605793","552.387228916814"
"30","TYP3_2016","45.284426634497","652.893106261366"
"31","TYP3CU_2016","37.8355496269472","676.664227789409"
"32","PCA1_2016","19.6495058850687","554.020147255099"
"33","PCA1CU_2016","19.2300505865927","969.815392833367"
"34","PCA2_2016","29.066696102583","885.821007370723"
"35","PCA2CU_2016","15.1354104771183","747.962000027223"
"36","PCA3_2016","42.6734575922987","832.158852855086"
"37","PCA3CU_2016","25.9847632934646","900.186595008409"
"38","PCA4_2016","47.3452645366978","791.42128939264"
"39","PCA4CU_2016","47.1157977684827","1197.16010718558"
"40","PCA5_2016","37.5609308578739","978.451949927838"
"41","PCA6_2016","39.1544065264361","838.634574057173"
"42","PCA6CU_2016","33.4739647126554","885.792809499509"
"43","PCC4_2016","58.1955794655589","1413.49799895375"
"44","PCC5_2016","17.5034908012871","523.121602172297"
"45","PCC5CU_2016","-13.8100162298422","630.817023083049"
"46","PCC6_2016","30.4588934856219","750.57361632516"
"47","PCC6CU_2016","32.0367276480935","594.349372832904"
"48","CAP12_2016","35.7459687576666","195.289830831768"
"49","CCP4_2016","32.1198414538364","305.362759420133"
"50","CCP5_2016","36.0086094032463","430.585344809442"
"51","CCP5CU_2016","32.2325940859393","904.429568247709"
"52","CPP6_2016","33.7379714945183","541.768693019185"
"53","CCP6CU_2016","34.9614424063927","694.249607264748"
"54","CCP7_2016","43.4186279284669","2169.15861549146"
"55","CCP7CU_2016","34.8452966546539","646.233249879731"
"56","CCP8_2016","37.9787636414409","207.218093527202"
"57","CCP8CU_2016","30.5366716615771","744.699259584815"
"58","CCP9_2016","21.1539021662797","521.245061673049"
"59","CCP9CU_2016","45.1350246538444","894.878327275412"
"60","CCP10_2016","25.0778762321354","366.628708678065"
"61","CCP10CU_2016","32.9220494133549","567.079453698918"
"62","CCP11_2016","70.6808590730984","3558.91951072671"
"63","CCP11CU_2016","70.7566060613667","1647.82375068383"
"64","CCP12_2016","87.8675583751913","795.107529334202"
"65","CAP1_2016","-11.9583006866614","207.531502499241"
"66","CAP4_2016","62.1976019110308","211.42029254508"
"67","CAP11_2016","NA","NA"
"68","CAP6CU_2016","-9.24702739679594","500.231737196434"
"69","CAP7CU_2016","-7.41407688592002","525.220917625556"
"70","CAP10_2016","NA","NA"
"71","CAP10CU_2016","45.5349966039923","875.144899475438"
"72","CCP1_2016","-5.97439877926743","865.603305588057"
"73","CCP1CU_2016","44.1149917891891","1003.11189412441"
"74","CCP2_2016","-0.770937661329471","431.852416995473"
"75","CCP2CU_2016","9.8820928952495","365.944398401477"
"76","CCP3_2016","0.783478455814071","843.23143082952"
"77","CAP1_2017","49.0134558998845","419.983411291932"
"78","CAP10_2017","20.339353070684","581.311414717198"
"79","CAP10CU_2017","35.1910350296959","689.898256193258"
"80","CAP11_2017","31.8469724271598","614.791808225158"
"81","CAP12_2017","24.6731715058489","697.266248401067"
"82","CAP12CU_2017","21.4721101644043","651.891560713605"
"83","CAP1CU_2017","65.1843988885485","861.974640008842"
"84","CAP2_2017","55.6301829851432","787.689316089808"
"85","CAP2CU_2017","63.8568707438592","498.442648261096"
"86","CAP3_2017","39.5585297213515","617.663053258537"
"87","CAP3CU_2017","46.6642331981289","635.467567268474"
"88","CAP4_2017","31.6048497587842","582.824445678052"
"89","CAP4CU_2017","55.8672214114081","1048.81602814167"
"90","CAP5_2017","29.2693729406229","550.409685031776"
"91","CAP5CU_2017","47.5539024288391","650.503433931718"
"92","CAP6_2017","4.8811792507142","386.998761908721"
"93","CAP6CU_2017","40.8558705445265","805.437864213347"
"94","CAP7CU_2017","50.0069341509461","648.766751321918"
"95","CAP9_2017","13.5729592525348","577.362868234595"
"96","CAP9CU_2017","35.9193133196431","1123061.076657"
"97","CCP1_2017","-23.2318915569439","346.060625658767"
"98","CCP10_2017","45.5054395334478","532.179705691361"
"99","CCP10CU_2017","8.33928432253817","346.237236201284"
"100","CCP11_2017","26.2188233598082","439.748807771844"
"101","CCP11CU_2017","13.5160553395763","477.201698971809"
"102","CCP12_2017","40.3228237867022","470.220376229086"
"103","CCP12CU_2017","7.26256652140686","546.326970181184"
"104","CCP1CU_2017","0.317499564469211","714.95859390998"
"105","CCP2_2017","14.066325601771","528.431581519844"
"106","CCP2CU_2017","1.73345407023297","650.095221386714"
"107","CCP3_2017","4.58368846746276","487.477892019045"
"108","CCP3CU_2017","9.34207062296362","622.664605609681"
"109","CCP4_2017","11.8639295622868","569.191216756358"
"110","CCP4CU_2017","2.80361722325056","524.627260912487"
"111","CCP5_2017","18.598436436749","521.621506639869"
"112","CCP5CU_2017","NA","NA"
"113","CCP6_2017","5.32235691095985","247.438915209048"
"114","CCP6CU_2017","16.585105073036","605.939682290078"
"115","CCP7_2017","15.2248298941593","923.970435916715"
"116","CCP7CU_2017","22.9407917653756","584.700382121822"
"117","CCP8_2017","9.04935160069215","234.555424548587"
"118","CCP8CU_2017","NA","NA"
"119","CCP9_2017","16.0991650708322","760.838833007638"
"120","CCP9CU_2017","32.7410543423957","430.560062060823"
"121","PCA1_2017","63.3496967544262","683.275798219999"
"122","PCA1CU_2017","76.1169242903417","811.916473796794"
"123","PCA2_2017","45.0119266953293","490.387627940564"
"124","PCA2CU_2017","43.7680058932589","706.850136650535"
"125","PCA3_2017","43.8986157076689","679.192359425837"
"126","PCA3CU_2017","30.2292972179116","908.233062222324"
"127","PCA4_2017","14.2244627941129","677.243660653376"
"128","PCA4CU_2017","20.1305257566475","1003.14542152111"
"129","PCA5_2017","27.7073160735449","740.22390763598"
"130","PCA5CU_2017","41.3935233526581","703.573570974996"
"131","PCA6_2017","-31.3442454881193","823.059500902261"
"132","PCA6CU_2017","40.8229550641428","571.312496191308"
"133","PCC1_2017","31.9716239028617","1071.8003315542"
"134","PCC1CU_2017","59.340010641215","687.517964982959"
"135","PCC2_2017","27.6997973953213","961.767500166133"
"136","PCC2CU_2017","22.7274397695178","1147.55416566079"
"137","PCC3_2017","24.3627226541798","834.246082692416"
"138","PCC3CU_2017","11.8932549304966","895.881141526122"
"139","PCC4_2017","33.5301183005642","1136.83887295527"
"140","PCC4CU_2017","87.735039184569","1209.4245221177"
"141","PCC5_2017","35.1417848452534","624.650875353074"
"142","PCC5CU_2017","55.9327886204142","725.491512436424"
"143","PCC6_2017","36.1883816417525","906.3584958545"
"144","PCC6CU_2017","24.850561436677","758.77207695073"
"145","PTY1_2017","-18.5825033662395","329.686543531859"
"146","PTY1CU_2017","30.2808997758764","600.042218621007"
"147","PTY2_2017","-2.67384226467601","756.492726898741"
"148","PTY2CU_2017","34.4878882460586","1052.18199777744"
"149","PTY3_2017","8.53148774170105","1001.22338317156"
"150","PTY4_2017","34.9790990893628","1052.37662660864"
"151","PTY4CU_2017","-8.51529645482489","539.375630835532"
"152","PTY5_2017","13.643812558311","1532.86363724469"
"153","PTY6_2017","41.8186477769318","886.192049261332"
"154","PTY6CU_2017","28.6994366833981","983.283790799897"
"155","TYP1_2017","62.6507349348683","476.608490114726"
"156","TYP1CU_2017","88.795921764724","2020.44330788624"
"157","TYP2_2017","47.363462100386","386.716817306299"
"158","TYP2CU_2017","NA","NA"
"159","TYP3_2017","45.3337766702269","593.189100243225"
"160","TYP3CU_2017","19.7923007489026","539.719254109084"
"161","TYP4_2017","40.1969325176418","564.356114317348"
"162","TYP4CU_2017","NA","NA"
"163","TYP5_2017","35.7837671128152","572.026826374183"
"164","TYP5CU_2017","37.9191160174981","1239.73162002035"
"165","TYP6_2017","-19.3846016266806","486.022784911163"
"166","TYP6CU_2017","37.8445275878429","619.7548511277"
