,Site,Year,Species,Phytometer,Neighbour,Treatment,Date,light,carbon
259,CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X0,-0.1
260,CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X1500,16.5
261,CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X1000,15.6
262,CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X500,12.1
263,CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X200,5.9
264,CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X100,2.7
265,CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X50,0.9
266,CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X0,-0.4
267,CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X1500,8.1
268,CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X1000,7.3
269,CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X500,5.6
270,CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X200,4
271,CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X100,1.9
272,CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X50,0.6
273,CCP7,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X0,-0.3
274,CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X1500,15.7
275,CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X1000,14.8
276,CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X500,12.2
277,CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X200,6.5
278,CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X100,3.7
279,CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X50,0.7
280,CCP7CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X0,-0.9
281,CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X1500,5.5
282,CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X1000,5.4
283,CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X500,5.1
284,CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X200,3.8
285,CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X100,2.3
286,CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X50,0.7
287,CCP8,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X0,-0.1
288,CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X1500,16.2
289,CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X1000,14.1
290,CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X500,8.9
291,CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X200,4.3
292,CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X100,2.2
293,CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X50,0.1
294,CCP8CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X0,-1.1
295,CCP9,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X1500,10.7
296,CCP9,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X1000,9.5
297,CCP9,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X500,7.9
298,CCP9,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X200,4.8
299,CCP9,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X100,2.7
300,CCP9,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X50,0.7
301,CCP9,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,X0,-0.4
302,CCP9CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X1500,13.7
303,CCP9CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X1000,13.3
304,CCP9CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X500,11.4
305,CCP9CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X200,5.7
306,CCP9CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X100,2.2
307,CCP9CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X50,0.3
308,CCP9CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,X0,-0.9
309,PCA1,2017,Phragmites,Phragmites_Carex,Carex,Competition,09-Jul-17,X1500,18.9
310,PCA1,2017,Phragmites,Phragmites_Carex,Carex,Competition,09-Jul-17,X1000,17.2
311,PCA1,2017,Phragmites,Phragmites_Carex,Carex,Competition,09-Jul-17,X500,12.8
312,PCA1,2017,Phragmites,Phragmites_Carex,Carex,Competition,09-Jul-17,X200,4.9
313,PCA1,2017,Phragmites,Phragmites_Carex,Carex,Competition,09-Jul-17,X100,1.1
314,PCA1,2017,Phragmites,Phragmites_Carex,Carex,Competition,09-Jul-17,X50,-0.8
315,PCA1,2017,Phragmites,Phragmites_Carex,Carex,Competition,09-Jul-17,X0,-2
316,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,09-Jul-17,X1500,14.7
317,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,09-Jul-17,X1000,13
318,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,09-Jul-17,X500,9.8
319,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,09-Jul-17,X200,3.9
320,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,09-Jul-17,X100,0.7
321,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,09-Jul-17,X50,-1.3
322,PCA1CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,09-Jul-17,X0,-2.3
323,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,11-Jul-17,X1500,13
324,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,11-Jul-17,X1000,12.5
325,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,11-Jul-17,X500,10.3
326,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,11-Jul-17,X200,5.2
327,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,11-Jul-17,X100,1.6
328,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,11-Jul-17,X50,-0.1
329,PCA2,2017,Phragmites,Phragmites_Carex,Carex,Competition,11-Jul-17,X0,-1.3
330,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X1500,18.1
331,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X1000,15.5
332,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X500,12.2
333,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X200,6.1
334,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X100,2.1
335,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X50,0.3
336,PCA3CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X0,-0.7
337,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X1500,19.9
338,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X1000,18.2
339,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X500,14.1
340,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X200,7
341,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X100,2.9
342,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X50,1.1
343,PCA4,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X0,-0.2
344,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X1500,25.9
345,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X1000,22.7
346,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X500,15.7
347,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X200,6.7
348,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X100,3.1
349,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X50,1
350,PCA4CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X0,-0.6
351,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X1500,21
352,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X1000,19
353,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X500,14.4
354,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X200,6.7
355,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X100,2.6
356,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X50,0.6
357,PCA5,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X0,-0.8
358,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X1500,15.6
359,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X1000,14.4
360,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X500,11
361,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X200,5.5
362,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X100,1.7
363,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X50,0
364,PCA5CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X0,-1.2
365,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X1500,22.3
366,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X1000,19.6
367,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X500,15.3
368,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X200,8.3
369,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X100,4
370,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X50,2.8
371,PCA6,2017,Phragmites,Phragmites_Carex,Carex,Competition,10-Jul-17,X0,1.7
372,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X1500,23.1
373,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X1000,24.3
374,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X500,14.3
375,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X200,6.1
376,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X100,1.7
377,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X50,0
378,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,No competition,10-Jul-17,X0,-1.6
379,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X1500,26.3
380,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X1000,23.4
381,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X500,16.2
382,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X200,7.5
383,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X100,2.7
384,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X50,1
385,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X0,-1.5
386,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X1500,16.3
387,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X1000,15.7
388,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X500,11.1
389,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X200,4.8
390,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X100,1.3
391,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X50,-0.6
392,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X0,-1.9
393,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X1500,17.7
394,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X1000,15.2
395,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X500,11.7
396,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X200,5.6
397,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X100,1.9
398,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X50,0.7
399,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X0,-0.7
400,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X1500,16
401,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X1000,13.9
402,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X500,10.2
403,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X200,5.1
404,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X100,2.2
405,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X50,0.4
406,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X0,-0.4
407,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X1500,19.2
408,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X1000,17.3
409,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X500,12.7
410,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X200,6.3
411,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X100,2.3
412,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X50,0.4
413,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,04-Jul-17,X0,-0.4
414,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X1500,15.4
415,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X1000,13.1
416,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X500,10.9
417,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X200,6.1
418,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X100,2.9
419,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X50,1.1
420,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,04-Jul-17,X0,-0.2
421,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,06-Jul-17,X1500,21.2
422,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,06-Jul-17,X1000,18
423,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,06-Jul-17,X500,12.9
424,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,06-Jul-17,X200,6.2
425,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,06-Jul-17,X100,1.5
426,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,06-Jul-17,X50,-0.1
427,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,06-Jul-17,X0,-0.4
428,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,09-Jul-17,X1500,16.9
429,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,09-Jul-17,X1000,13.9
430,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,09-Jul-17,X500,10.3
431,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,09-Jul-17,X200,3.7
432,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,09-Jul-17,X100,0
433,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,09-Jul-17,X50,-1.5
434,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,09-Jul-17,X0,-3
435,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X1500,17.6
436,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X1000,16.2
437,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X500,13.1
438,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X200,6.4
439,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X100,2.9
440,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X50,0.3
441,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X0,-0.7
442,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X1500,13.9
443,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X1000,12.7
444,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X500,9.8
445,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X200,5.1
446,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X100,0.6
447,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X50,0.1
448,PCC5,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X0,-1
449,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X1500,17.7
450,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X1000,15.8
451,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X500,12.1
452,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X200,4.7
453,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X100,1.5
454,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X50,-0.3
455,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X0,-1.9
456,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X1500,24.7
457,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X1000,21.7
458,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X500,14.9
459,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X200,5.8
460,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X100,1.5
461,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X50,-0.7
462,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,10-Jul-17,X0,-1.9
463,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X1500,5.7
464,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X1000,6.2
465,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X500,6.2
466,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X200,5.2
467,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X100,3.3
468,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X50,1.5
469,PCC6,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,11-Jul-17,X0,-1
470,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,10-Jul-17,X1500,19.2
471,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,10-Jul-17,X1000,17.3
472,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,10-Jul-17,X500,13.2
473,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,10-Jul-17,X200,6.1
474,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,10-Jul-17,X100,2.5
475,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,10-Jul-17,X50,0.4
476,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,10-Jul-17,X0,-0.9
477,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X1500,15.7
478,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X1000,14.1
479,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X500,10.8
480,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X200,5.4
481,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X100,2.1
482,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X50,0.7
483,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,No competition,11-Jul-17,X0,-0.2
484,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X1500,12.2
485,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X1000,12.1
486,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X500,10.9
487,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X200,7.1
488,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X100,3.9
489,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X50,2.7
490,PTY1,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X0,0.6
491,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X1500,16.1
492,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X1000,15
493,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X500,11.9
494,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X200,5.9
495,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X100,2.2
496,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X50,0.4
497,PTY1CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X0,-0.8
498,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X1500,24
499,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X1000,21.4
500,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X500,16.7
501,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X200,9.1
502,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X100,3.8
503,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X50,1.7
504,PTY2,2017,Phragmites,Phragmites_Typha,Typha,Competition,14-Jul-17,X0,0.9
505,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X1500,23.1
506,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X1000,19.8
507,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X500,14.2
508,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X200,5.8
509,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X100,2.2
510,PTY2CU,2017,Phragmites,Phragmites_Typha,Typha,No competition,14-Jul-17,X50,0.4
