Site,Year,Species,Phytometer,Neighbour,Treatment,Light intensity,Carbon Assimilation,WUE
PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1000,22.3,3.36
PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,500,14.8,2.4
PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,200,5.9,1.05
PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,100,2.1,0.45
PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,50,0.2,0.05
PTY2CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,0,-1.4,-0.59
PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,1500,15.1,3.29
PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,1000,14,3.55
PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,500,12.1,2.96
PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,200,7,1.7
PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,100,3.9,1.21
PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,50,2.2,0.87
PTY3,2016,Phragmites,Phragmites_Typha,Typha,Competition,0,1,0.43
PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1500,22,3.31
PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,1000,19.1,3.15
PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,500,12.9,2.36
PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,200,5.2,1.09
PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,100,2.3,0.88
PTY3CU,2016,Phragmites,Phragmites_Typha,Typha,No competition,50,0.1,0.07
