"","Site","Year","Species","spp_trt","Phytometer","Neighbour","Treatment","light","carbon","WUE"
"100","CCP11",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",9.1,2.42
"101","CCP11CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",12.9,2.41
"102","CCP12",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",5.1,2.13
"103","CCP12CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",14.3,2.19
"104","CCP1CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",14.5,1.88
"105","CCP2",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",9.8,2.09
"106","CCP2CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",18.4,2.41
"107","CCP3",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",12.5,1.79
"108","CCP3CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",15.6,2.17
"109","CCP4",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",11.6,2.64
"110","CCP4CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",14.8,2.5
"111","CCP5",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",11.4,1.99
"112","CCP5CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",5.5,1.38
"113","CCP6",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",7.8,1.86
"114","CCP6CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",16.5,2.42
"115","CCP7",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",8.1,2.03
"116","CCP7CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",15.7,2.72
"117","CCP8",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",5.5,1.49
"118","CCP8CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",16.2,2.71
"119","CCP9",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",10.7,2.03
"120","CCP9CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",13.7,2.34
"121","PCA1",2017,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",18.9,3.29
"122","PCA1CU",2017,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",14.7,2.63
"123","PCA2",2017,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",13,2.81
"124","PCA2CU",2017,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",19.7,3.09
"125","PCA3",2017,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",16.4,2.28
"126","PCA3CU",2017,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",18.1,3.01
"127","PCA4",2017,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",19.9,3.02
"128","PCA4CU",2017,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",25.9,2.23
"129","PCA5",2017,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",21,3.03
"130","PCA5CU",2017,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",15.6,3.28
"131","PCA6",2017,"Phragmites","Phragmites_Carex_Competition","Phragmites_Carex","Carex","Competition","1500",22.3,2.83
"132","PCA6CU",2017,"Phragmites","Phragmites_Carex_No competition","Phragmites_Carex","Carex","No competition","1500",23.1,2.94
"133","PCC1",2017,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",26.3,3.01
"134","PCC1CU",2017,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",16.3,3.08
"135","PCC2",2017,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",17.7,3.21
"136","PCC2CU",2017,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",16,3.56
"137","PCC3",2017,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",19.2,2.99
"138","PCC3CU",2017,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",15.4,3.02
"139","PCC4",2017,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",21.2,2.62
"140","PCC4CU",2017,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",16.9,2.79
"141","PCC5",2017,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",15.75,2.24
"142","PCC5CU",2017,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",17.7,2.48
"143","PCC6",2017,"Phragmites","Phragmites_Calamagrostis_Competition","Phragmites_Calamagrostis","Calamagrostis","Competition","1500",15.2,2.84
"144","PCC6CU",2017,"Phragmites","Phragmites_Calamagrostis_No competition","Phragmites_Calamagrostis","Calamagrostis","No competition","1500",17.45,2.51
"145","PTY1",2017,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",12.2,2.26
"146","PTY1CU",2017,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",16.1,3.49
"147","PTY2",2017,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",24,2.7
"148","PTY2CU",2017,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",23.1,2.49
"149","PTY3",2017,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",21.9,2.88
"150","PTY4",2017,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",22,2.84
"151","PTY4CU",2017,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",28.7,3.22
"152","PTY5",2017,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",21.9,2.52
"153","PTY6",2017,"Phragmites","Phragmites_Typha_Competition","Phragmites_Typha","Typha","Competition","1500",23.1,3.15
"154","PTY6CU",2017,"Phragmites","Phragmites_Typha_No competition","Phragmites_Typha","Typha","No competition","1500",26,3.09
"155","TYP1",2017,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",7.8,1.88
"156","TYP1CU",2017,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",6.7,1.47
"157","TYP2",2017,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",13.3,1.61
"158","TYP2CU",2017,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",18.9,1.87
"159","TYP3",2017,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",17.7,2.14
"160","TYP3CU",2017,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",20.7,1.9
"161","TYP4",2017,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",21.3,2.45
"162","TYP4CU",2017,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",23.8,2.07
"163","TYP5",2017,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",22.6,1.91
"164","TYP5CU",2017,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",21.3,2.22
"165","TYP6",2017,"Typha","Typha_Phragmites_Competition","Typha_Phragmites","Phragmites","Competition","1500",22.3,2.17
"166","TYP6CU",2017,"Typha","Typha_Phragmites_No competition","Typha_Phragmites","Phragmites","No competition","1500",24,2.04
