,Site,Year,Species,Phytometer,Neighbour,Treatment,Date,light,carbon,WUE
64,CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,1500,9.5,
65,CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,1000,8.4,
66,CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,500,7,
67,CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,200,4.2,
68,CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,100,1.3,
69,CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,50,0,
70,CAP3,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,0,-0.9,
71,CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1500,10.9,
72,CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1000,10.1,
73,CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,500,7.9,
74,CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,200,4.9,
75,CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,100,1.3,
76,CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,50,-0.3,
77,CAP3CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,0,-1.3,
78,CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,1500,15,
79,CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,1000,14.2,
80,CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,500,11.3,
81,CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,200,6,
82,CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,100,2.3,
83,CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,50,0.3,
84,CAP4,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,0,-0.9,
85,CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1500,15.3,
86,CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1000,13.2,
87,CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,500,9.7,
88,CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,200,4.4,
89,CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,100,1,
90,CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,50,-0.5,
91,CAP4CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,0,-1.5,
92,CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,1500,13.8,
93,CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,1000,13,
94,CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,500,10.6,
95,CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,200,5.4,
96,CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,100,2.3,
97,CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,50,0.4,
98,CAP5,2017,Carex,Carex_Phragmites,Phragmites,Competition,09-Jul-17,0,-0.8,
99,CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1500,17,
100,CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,1000,16.5,
101,CAP5CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,500,11.5,
