n,ID,Year,Species,Treatment,Neighbour,LCPT,LSP
34,PCA2_2016,2016,Phragmites,Competition,Carex,29.0666961,885.8210074
123,PCA2_2017,2017,Phragmites,Competition,Carex,45.0119267,490.3876279
36,PCA3_2016,2016,Phragmites,Competition,Carex,42.67345759,832.1588529
125,PCA3_2017,2017,Phragmites,Competition,Carex,43.89861571,679.1923594
38,PCA4_2016,2016,Phragmites,Competition,Carex,47.34526454,791.4212894
127,PCA4_2017,2017,Phragmites,Competition,Carex,14.22446279,677.2436607
40,PCA5_2016,2016,Phragmites,Competition,Carex,37.56093086,978.4519499
129,PCA5_2017,2017,Phragmites,Competition,Carex,27.70731607,740.2239076
41,PCA6_2016,2016,Phragmites,Competition,Carex,39.15440653,838.6345741
131,PCA6_2017,2017,Phragmites,Competition,Carex,-31.34424549,823.0595009
19,PCC1_2016,2016,Phragmites,Competition,Calamagrostis,12.3634267,656.6950767
133,PCC1_2017,2017,Phragmites,Competition,Calamagrostis,31.9716239,1071.800332
21,PCC2_2016,2016,Phragmites,Competition,Calamagrostis,-126.9601828,347.5778454
135,PCC2_2017,2017,Phragmites,Competition,Calamagrostis,27.6997974,961.7675002
23,PCC3_2016,2016,Phragmites,Competition,Calamagrostis,30.78915324,1108.345066
137,PCC3_2017,2017,Phragmites,Competition,Calamagrostis,24.36272265,834.2460827
43,PCC4_2016,2016,Phragmites,Competition,Calamagrostis,58.19557947,1413.497999
139,PCC4_2017,2017,Phragmites,Competition,Calamagrostis,33.5301183,1136.838873
44,PCC5_2016,2016,Phragmites,Competition,Calamagrostis,17.5034908,523.1216022
141,PCC5_2017,2017,Phragmites,Competition,Calamagrostis,35.14178485,624.6508754
46,PCC6_2016,2016,Phragmites,Competition,Calamagrostis,30.45889349,750.5736163
143,PCC6_2017,2017,Phragmites,Competition,Calamagrostis,36.18838164,906.3584959
1,PTY1_2016,2016,Phragmites,Competition,Typha,31.24256878,905.9836319
145,PTY1_2017,2017,Phragmites,Competition,Typha,-18.58250337,329.6865435
3,PTY2_2016,2016,Phragmites,Competition,Typha,42.29656207,1128.390933
147,PTY2_2017,2017,Phragmites,Competition,Typha,-2.673842265,756.4927269
5,PTY3_2016,2016,Phragmites,Competition,Typha,-22.81055407,482.783501
149,PTY3_2017,2017,Phragmites,Competition,Typha,8.531487742,1001.223383
7,PTY4_2016,2016,Phragmites,Competition,Typha,30.32580482,853.0873802
150,PTY4_2017,2017,Phragmites,Competition,Typha,34.97909909,1052.376627
9,PTY5_2016,2016,Phragmites,Competition,Typha,-134.2487229,560.3803376
152,PTY5_2017,2017,Phragmites,Competition,Typha,13.64381256,1532.863637
11,PTY6_2016,2016,Phragmites,Competition,Typha,-142.5399655,528.0933133
153,PTY6_2017,2017,Phragmites,Competition,Typha,41.81864778,886.1920493
33,PCA1CU_2016,2016,Phragmites,No competition,Carex,19.23005059,969.8153928
122,PCA1CU_2017,2017,Phragmites,No competition,Carex,76.11692429,811.9164738
35,PCA2CU_2016,2016,Phragmites,No competition,Carex,15.13541048,747.962
124,PCA2CU_2017,2017,Phragmites,No competition,Carex,43.76800589,706.8501367
37,PCA3CU_2016,2016,Phragmites,No competition,Carex,25.98476329,900.186595
126,PCA3CU_2017,2017,Phragmites,No competition,Carex,30.22929722,908.2330622
39,PCA4CU_2016,2016,Phragmites,No competition,Carex,47.11579777,1197.160107
128,PCA4CU_2017,2017,Phragmites,No competition,Carex,20.13052576,1003.145422
130,PCA5CU_2017,2017,Phragmites,No competition,Carex,41.39352335,703.573571
42,PCA6CU_2016,2016,Phragmites,No competition,Carex,33.47396471,885.7928095
132,PCA6CU_2017,2017,Phragmites,No competition,Carex,40.82295506,571.3124962
20,PCC1CU_2016,2016,Phragmites,No competition,Calamagrostis,46.7283276,1491.906724
134,PCC1CU_2017,2017,Phragmites,No competition,Calamagrostis,59.34001064,687.517965
