Pair,Site,Year,Species,spp_trt,Phytometer,Neighbour,Treatment,light,carbon,WUE
5,PCC5CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,19,2.61
6,PCC6,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,18.4,2.83
6,PCC6CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.7,2.91
12,CAP12,2016,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,4.1,1.36
4,CCP4,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,8,1.95
5,CCP5,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,7.4,1.72
5,CCP5CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,13.4,2.07
6,CPP6,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,11.7,3.04
6,CCP6CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,13.5,2.2
7,CCP7,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,8.7,1.48
7,CCP7CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,10.9,2.03
8,CCP8,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,5.4,2.73
8,CCP8CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,13.7,2.52
9,CCP9,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,10.1,1.87
9,CCP9CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,13.9,1.82
10,CCP10,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,7.6,1.37
10,CCP10CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,15.7,1.99
11,CCP11,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,5,1.21
11,CCP11CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,8.3,1.27
