"","Moist.log","Cu.log","Fe.log","Mn.log","P.log","Mg.log","K.log","Zn.log","C.log","TN.log","Na.log","Ca.log","S.log","Light.log","pH"
"1",13.5785228672543,0.792992515529661,4.24992279404054,3.17805383034795,2.484906649788,4.21950770517611,3.2188758248682,1.42551507427317,9.98511362141607,5.70711026474888,3.41114771251532,8.23031079913502,5.80211837537706,2.83907846350861,7.2
"2",13.569611298299,1.05431202977153,4.81218435537242,3.62966009445396,2.63905732961526,4.59511985013459,3.98898404656427,1.68639895357023,10.7621703577899,6.80350525760834,3.65842024662923,8.3187422526924,6.3818160174061,4.46820433091493,7.3
"3",13.5528475488771,0.924258901523332,4.80402104473326,3.89792408104864,2.83321334405622,4.70953020131233,4.06044301054642,1.60743590976343,11.4273784697954,8.63070043220983,3.22684399451738,8.64716826783798,6.69826805411541,3.21486780347066,7.2
"4",13.6035554321338,0.85015092936961,4.46014441393783,3.5055573969864,2.70805020110221,4.43081679884331,3.17805383034795,1.71739505393919,10.0213150316493,6.55250788703459,4.34769395559338,8.28652137368124,6.13339804299665,3.71843825635548,7.3
"5",13.6291821845913,1.18784342239605,4.85203026391962,2.90690105984738,2.70805020110221,4.61512051684126,3.80666248977032,1.91985947185537,10.716659698194,7.90137735379262,2.89591193827178,8.47803647621504,6.62140565176413,2.72785282839839,7.2
"6",13.5759847980468,0.712949807856125,4.25134831103177,3.32503602069659,2.77258872223978,4.34380542185368,3.71357206670431,1.43270073393405,10.3353024359671,6.90875477931522,4.03069453514564,8.20985248130127,5.88887795833288,1.66770682055808,7.1
"7",13.5318218348024,0.947789398933526,4.72738781871234,3.50855589998265,2.63905732961526,4.46590811865458,3.40119738166216,1.68082790852077,10.716659698194,7.90137735379262,4.05871738457895,8.24617155985756,6.2363695902037,1.66770682055808,6.9
"8",13.5936174744892,1.25846098961001,5.37989735354046,4.15575319035074,2.83321334405622,4.70953020131233,4.00733318523247,2.02551319965428,10.9295470693558,7.60140233458373,3.6609942506244,8.39683183474505,6.74641212857337,0.693147180559945,6.5
"9",13.6611943644404,1.26694760348732,5.2040066870768,3.14845336057165,2.99573227355399,5.25227342804663,4.36944785246702,1.99333884262642,11.1927339748227,8.43402895015547,4.26408733680919,8.45935219172639,6.79234442747081,1.33500106673234,7.2
"10",13.582317933422,1.19088756477728,5.27811465923052,4.25134831103177,3.09104245335832,4.53259949315326,3.95124371858143,1.90508815453506,11.2463654104738,8.61268517287546,3.72810016726722,8.43294163896865,6.83625927727707,3.33932197794407,6.6
"11",13.4602645925492,1.30019166206648,5.46806014113513,4.25134831103177,2.56494935746154,4.46590811865458,4.00733318523247,1.58923520511658,11.4435861048916,8.55660619377307,3.70868208141012,8.49964003216865,6.73459165997295,1.28093384546206,7
"12",13.6303862772063,2.2353763433006,4.94875989037817,2.94443897916644,2.99573227355399,4.61512051684126,4.15888308335967,2.06051353179432,11.2922912626048,8.5173931714189,3.10906095886099,8.42507790250843,6.58063913728495,1.82454929205105,6.8
"13",13.5848399996743,1.0952733874026,5.07517381523383,3.68135118769314,2.83321334405622,4.51085950651685,4.23410650459726,1.97129938306013,11.2746809661208,8.24301946898925,3.98154906807676,8.45318786144033,6.67329796776765,1.1314021114911,7
"14",13.5848399996743,0.955511445027436,4.39814601655377,2.61739583283408,2.70805020110221,4.52178857704904,3.43398720448515,1.96571277635149,10.729875458481,7.74109909003537,2.96010509591084,8.25738565573044,6.01859321449623,2.16332302566054,7
"15",13.5734402706491,0.571544358800696,3.74478708605223,3.06339092202781,2.19722457733622,4.17438726989564,3.09104245335832,1.21194097397511,10.3353024359671,6.39859493453521,2.92316158071916,8.16223106548118,5.67332326717149,1.38629436111989,7.1
"16",13.6267696410961,1.84371920815877,5.77765232322266,3.25424296870549,3.29583686600433,6.13339804299665,4.4188406077966,2.50959926237837,11.6852051033837,8.77971129020447,4.66343909411207,8.67760991282214,7.78364059622125,1.1314021114911,6.8
"17",13.589865129564,1.97408102602201,6.26530121273771,3.89589362349826,3.58351893845611,6.34738920965601,4.61512051684126,2.70136121295141,11.8649968286754,9.35884658027541,3.92986292355648,8.9000036089596,7.93773177526011,1.75785791755237,6.4
"18",13.6470930897706,2.08442908319087,6.10479323241498,3.92592591059714,4.56434819146784,6.39859493453521,5.08140436498446,2.79728133483015,12.1221528483155,9.57505292759738,4.2570301444992,9.21143976741948,7.86365126544865,1.1314021114911,6.4
"19",13.5961112382581,1.33236601909433,5.4249500174814,3.70376806660769,2.63905732961526,4.87519732320115,3.80666248977032,1.83736998048011,11.4876179133436,8.49719454490955,3.71357206670431,8.71028982137815,7.00397413672268,1.22377543162212,7.3
"20",13.654168582643,1.60140574073684,5.19849703126583,3.43720781918519,2.89037175789616,5.25227342804663,3.85014760171006,1.66392609771817,11.0666539872197,8.07121853996986,3.56104608260405,8.48239468587354,6.68586094706836,1.02961941718116,7
"21",13.6576876437302,2.1938856760707,6.07534603108868,3.45631668088323,3.63758615972639,6.29341927884648,4.79579054559674,3.2188758248682,11.8565222615337,9.34145634983372,4.37197629882038,8.84347078162738,7.82444593087762,1.1314021114911,6.7
