"","Site.ID","Species","Neighbours","Competition","date","height"
"100","CAP7CU","Carex","Phragmites","No","280617","140"
"101","CAP8","Carex","Phragmites","Yes","070617","93"
"102","CAP8","Carex","Phragmites","Yes","100517","66"
"103","CAP8","Carex","Phragmites","Yes","160617","134"
"104","CAP8","Carex","Phragmites","Yes","270517","96"
"105","CAP8","Carex","Phragmites","Yes","280617","138"
"106","CAP8CU","Carex","Phragmites","No","070617","80"
"107","CAP8CU","Carex","Phragmites","No","100517","63"
"108","CAP8CU","Carex","Phragmites","No","160617","130"
"109","CAP8CU","Carex","Phragmites","No","270517","76"
"110","CAP8CU","Carex","Phragmites","No","280617","131"
"111","CAP9","Carex","Phragmites","Yes","070617","103"
"112","CAP9","Carex","Phragmites","Yes","100517","67"
"113","CAP9","Carex","Phragmites","Yes","160617","140"
"114","CAP9","Carex","Phragmites","Yes","270517","108"
"115","CAP9","Carex","Phragmites","Yes","280617","160"
"116","CAP9CU","Carex","Phragmites","No","070617","92"
"117","CAP9CU","Carex","Phragmites","No","100517","68"
"118","CAP9CU","Carex","Phragmites","No","160617","143"
"119","CAP9CU","Carex","Phragmites","No","270517","92"
"120","CAP9CU","Carex","Phragmites","No","280617","150"
"121","CCP1","Calamagrostis","Phragmites","Yes","070617","80"
"122","CCP1","Calamagrostis","Phragmites","Yes","100517","61"
"123","CCP1","Calamagrostis","Phragmites","Yes","160617","88"
"124","CCP1","Calamagrostis","Phragmites","Yes","270517","79"
"125","CCP1","Calamagrostis","Phragmites","Yes","280617","88"
"126","CCP10","Calamagrostis","Phragmites","Yes","070617","76"
"127","CCP10","Calamagrostis","Phragmites","Yes","100517","70"
"128","CCP10","Calamagrostis","Phragmites","Yes","160617","85"
"129","CCP10","Calamagrostis","Phragmites","Yes","270517","83"
"130","CCP10","Calamagrostis","Phragmites","Yes","280617","88"
"131","CCP10CU","Calamagrostis","Phragmites","No","070617","93"
"132","CCP10CU","Calamagrostis","Phragmites","No","100517","70"
"133","CCP10CU","Calamagrostis","Phragmites","No","160617","101"
"134","CCP10CU","Calamagrostis","Phragmites","No","270517","85"
"135","CCP10CU","Calamagrostis","Phragmites","No","280617","110"
"136","CCP11","Calamagrostis","Phragmites","Yes","070617","106"
"137","CCP11","Calamagrostis","Phragmites","Yes","100517","79"
"138","CCP11","Calamagrostis","Phragmites","Yes","160617","112"
"139","CCP11","Calamagrostis","Phragmites","Yes","270517","97"
"140","CCP11","Calamagrostis","Phragmites","Yes","280617","120"
"141","CCP11CU","Calamagrostis","Phragmites","No","070617","104"
"142","CCP11CU","Calamagrostis","Phragmites","No","100517","80"
"143","CCP11CU","Calamagrostis","Phragmites","No","160617","111"
"144","CCP11CU","Calamagrostis","Phragmites","No","270517","100"
"145","CCP11CU","Calamagrostis","Phragmites","No","280617","111"
"146","CCP12","Calamagrostis","Phragmites","Yes","070617","115"
"147","CCP12","Calamagrostis","Phragmites","Yes","100517","75"
"148","CCP12","Calamagrostis","Phragmites","Yes","160617","118"
"149","CCP12","Calamagrostis","Phragmites","Yes","270517","101"
"150","CCP12","Calamagrostis","Phragmites","Yes","280617","118"
"151","CCP12CU","Calamagrostis","Phragmites","No","070617","118"
"152","CCP12CU","Calamagrostis","Phragmites","No","100517","74"
"153","CCP12CU","Calamagrostis","Phragmites","No","160617","121"
"154","CCP12CU","Calamagrostis","Phragmites","No","270517","103"
"155","CCP12CU","Calamagrostis","Phragmites","No","280617","125"
"156","CCP1CU","Calamagrostis","Phragmites","No","070617","74"
"157","CCP1CU","Calamagrostis","Phragmites","No","100517","63"
"158","CCP1CU","Calamagrostis","Phragmites","No","160617","93"
"159","CCP1CU","Calamagrostis","Phragmites","No","270517","67"
"160","CCP1CU","Calamagrostis","Phragmites","No","280617","100"
"161","CCP2","Calamagrostis","Phragmites","Yes","070617","93"
"162","CCP2","Calamagrostis","Phragmites","Yes","100517","67"
"163","CCP2","Calamagrostis","Phragmites","Yes","160617","110"
"164","CCP2","Calamagrostis","Phragmites","Yes","270517","81"
"165","CCP2","Calamagrostis","Phragmites","Yes","280617","145"
"166","CCP2CU","Calamagrostis","Phragmites","No","070617","95"
"167","CCP2CU","Calamagrostis","Phragmites","No","100517","67"
"168","CCP2CU","Calamagrostis","Phragmites","No","160617","98"
"169","CCP2CU","Calamagrostis","Phragmites","No","270517","87"
"170","CCP2CU","Calamagrostis","Phragmites","No","280617","110"
"171","CCP3","Calamagrostis","Phragmites","Yes","070617","105"
"172","CCP3","Calamagrostis","Phragmites","Yes","100517","67"
"173","CCP3","Calamagrostis","Phragmites","Yes","160617","95"
"174","CCP3","Calamagrostis","Phragmites","Yes","270517","95"
"175","CCP3","Calamagrostis","Phragmites","Yes","280617","95"
"176","CCP3CU","Calamagrostis","Phragmites","No","070617","87"
"177","CCP3CU","Calamagrostis","Phragmites","No","100517","68"
"178","CCP3CU","Calamagrostis","Phragmites","No","160617","94"
"179","CCP3CU","Calamagrostis","Phragmites","No","270517","82"
"180","CCP3CU","Calamagrostis","Phragmites","No","280617","96"
"181","CCP4","Calamagrostis","Phragmites","Yes","070617","99"
"182","CCP4","Calamagrostis","Phragmites","Yes","100517","70"
"183","CCP4","Calamagrostis","Phragmites","Yes","160617","110"
"184","CCP4","Calamagrostis","Phragmites","Yes","270517","90"
"185","CCP4","Calamagrostis","Phragmites","Yes","280617","118"
"186","CCP4CU","Calamagrostis","Phragmites","No","070617","91"
"187","CCP4CU","Calamagrostis","Phragmites","No","100517","71"
"188","CCP4CU","Calamagrostis","Phragmites","No","160617","202"
"189","CCP4CU","Calamagrostis","Phragmites","No","270517","93"
"190","CCP4CU","Calamagrostis","Phragmites","No","280617","115"
"191","CCP5","Calamagrostis","Phragmites","Yes","070617","110"
